Cycle,Value
0,001000001
1,010000010
2,100100100
3,001001001
4,010010010
5,100100101
6,001001011
7,010010110
8,100001100
9,000011001
10,000110011
11,001100110
12,011001100
13,110011000
14,100010000
15,000100000
16,001000000
17,010000000
18,100000000
19,000000001
20,000100011
21,001000110
22,010001100
23,100011001
24,000110010
25,001100101
26,011101010
27,111010100
28,110101000
29,101010001
30,010100010
31,101000100
32,010101000
33,101010000
34,010100000
35,101000001
36,010000011
37,100000110
38,000101101
39,001011010
40,010110101
41,101101011
42,011010111
43,110101111
44,101111110
45,011111100
46,111111001
47,111110011
48,111100110
49,111001101
50,110111011
51,101110110
52,011101100
53,111011000
54,110110000
55,101100000
56,011100000
57,111000000
58,110000001
59,100000010
60,000000101
61,000001010
62,000110100
63,001101001
64,011010010
65,110100101
66,101001011
67,010010111
68,100001110
69,000011101
70,000111011
71,001110110
72,011101101
73,111011010
74,110010100
75,100101000
76,001010001
77,010100011
78,101000110
79,010001101
80,100111011
81,001110110
82,011101101
83,111011011
84,110110110
85,101101100
86,011111001
87,111110011
88,111100110
89,111001101
90,110011011
91,100110110
92,001001101
93,010011010
94,100110101
95,001101011
96,011010110
97,110101101
98,101111011
99,011110110
100,111101101
101,111011011
102,110110110
103,101101100
104,011111000
105,111110001
106,111100010
107,111000100
108,110001001
109,100010011
110,000000110
111,000001100
112,000011000
113,000110001
114,001100011
115,011000110
116,110101101
117,101011011
118,010110110
119,101101100
120,011011001
121,110110011
122,101000110
123,010001101
124,100011010
125,000110100
126,001101001
127,011010010
128,110000100
129,100001001
130,000010011
131,000100110
132,001001100
133,010011000
134,100010001
135,000100010
136,001000100
137,010001000
138,100010000
139,000100000
140,001100001
141,011000010
142,110000100
143,100001000
144,000010001
145,000100011
146,001100110
147,011001100
148,110011000
149,100110000
150,001100000
151,011000000
152,110100001
153,101000011
154,010000111
155,100001111
156,000011111
157,000111111
158,001011111
159,010111111
160,101111111
161,011111110
162,111111101
163,111111010
164,111010101
165,110101010
166,101010101
167,010101011
168,101010110
169,010101100
170,101111000
171,011110000
172,111100001
173,111000011
174,110000111
175,100001111
176,000111110
177,001111101
178,011111011
179,111110110
180,111101100
181,111011001
182,110010010
183,100100100
184,001001001
185,010010010
186,100100101
187,001001011
188,010110111
189,101101111
190,011011111
191,110111110
192,101111100
193,011111000
194,111010001
195,110100010
196,101000101
197,010001011
198,100010110
199,000101100
200,001111001
201,011110011
202,111100111
203,111001110
204,110011101
205,100111010
206,001010100
207,010101001
208,101010010
209,010100100
210,101001000
211,010010001
212,100000010
213,000000101
214,000001010
215,000010101
216,000101011
217,001010110
218,010001101
219,100011010
220,000110100
221,001101001
222,011010010
223,110100101
224,101101010
225,011010101
226,110101011
227,101010110
228,010101100
229,101011000
230,010010000
231,100100001
232,001000011
233,010000110
234,100001100
235,000011001
236,000010010
237,000100101
238,001001010
239,010010101
240,100101011
241,001010111
242,010001111
243,100011110
244,000111100
245,001111001
246,011110011
247,111100111
248,111101110
249,111011101
250,110111010
251,101110101
252,011101010
253,111010100
254,110001000
255,100010001
256,000100010
257,001000100
258,010001000
259,100010000
260,000000001
261,000000010
262,000000100
263,000001001
264,000010010
265,000100101
266,001101010
267,011010100
268,110101001
269,101010011
270,010100110
271,101001100
272,010111000
273,101110001
274,011100010
275,111000101
276,110001011
277,100010111
278,000001110
279,000011100
280,000111001
281,001110011
282,011100111
283,111001110
284,110111100
285,101111000
286,011110000
287,111100000
288,111000001
289,110000011
290,100100111
291,001001111
292,010011110
293,100111101
294,001111010
295,011110101
296,111001010
297,110010101
298,100101010
299,001010100
300,010101001
301,101010010
302,010000100
303,100001000
304,000010001
305,000100011
306,001000110
307,010001100
308,100111001
309,001110010
310,011100101
311,111001011
312,110010111
313,100101110
314,001111101
315,011111011
316,111110111
317,111101110
318,111011101
319,110111010
320,101010101
321,010101010
322,101010100
323,010101001
324,101010010
325,010100100
326,101101000
327,011010001
328,110100011
329,101000111
330,010001111
331,100011110
332,000011101
333,000111011
334,001110111
335,011101110
336,111011100
337,110111000
338,101010000
339,010100000
340,101000000
341,010000001
342,100000010
343,000000101
344,000101011
345,001010110
346,010101101
347,101011011
348,010110110
349,101101101
350,011111011
351,111110111
352,111101110
353,111011101
354,110111010
355,101110100
356,011001001
357,110010010
358,100100100
359,001001000
360,010010000
361,100100001
362,001100011
363,011000110
364,110001100
365,100011001
366,000110010
367,001100101
368,011101011
369,111010110
370,110101100
371,101011000
372,010110000
373,101100001
374,011100011
375,111000110
376,110001101
377,100011011
378,000110110
379,001101101
380,011111011
381,111110111
382,111101110
383,111011100
384,110111000
385,101110000
386,011000000
387,110000000
388,100000001
389,000000011
390,000000110
391,000001100
392,000111001
393,001110011
394,011100111
395,111001111
396,110011111
397,100111110
398,001011100
399,010111001
400,101110011
401,011100110
402,111001100
403,110011001
404,100010011
405,000100110
406,001001100
407,010011001
408,100110011
409,001100110
410,011101100
411,111011000
412,110110000
413,101100000
414,011000001
415,110000010
416,100100100
417,001001001
418,010010010
419,100100100
420,001001001
421,010010010
422,100000101
423,000001011
424,000010110
425,000101101
426,001011010
427,010110101
428,101001010
429,010010101
430,100101011
431,001010110
432,010101101
433,101011010
434,010010100
435,100101001
436,001010011
437,010100111
438,101001110
439,010011101
440,100011010
441,000110100
442,001101001
443,011010011
444,110100111
445,101001111
446,010111111
447,101111111
448,011111110
449,111111101
450,111111010
451,111110100
452,111001001
453,110010011
454,100100110
455,001001100
456,010011000
457,100110001
458,001000010
459,010000100
460,100001000
461,000010001
462,000100011
463,001000110
464,010101101
465,101011010
466,010110100
467,101101000
468,011010001
469,110100011
470,101100111
471,011001111
472,110011110
473,100111100
474,001111000
475,011110001
476,111000010
477,110000101
478,100001011
479,000010110
480,000101101
481,001011010
482,010010101
483,100101011
484,001010111
485,010101111
486,101011110
487,010111100
488,101011000
489,010110000
490,101100001
491,011000010
492,110000100
493,100001001
494,000110011
495,001100111
496,011001110
497,110011100
498,100111000
499,001110000
500,011000000
501,110000000
502,100000001
503,000000010
504,000000100
505,000001000
506,000110000
507,001100001
508,011000010
509,110000100
510,100001001
511,000010011
512,000000110
513,000001100
514,000011000
515,000110000
516,001100001
517,011000010
518,110100100
519,101001001
520,010010011
521,100100111
522,001001111
523,010011110
524,100011100
525,000111000
526,001110001
527,011100010
528,111000100
529,110001001
530,100110011
531,001100110
532,011001100
533,110011000
534,100110000
535,001100000
536,011100001
537,111000010
538,110000101
539,100001010
540,000010101
541,000101011
542,001110110
543,011101101
544,111011010
545,110110100
546,101101000
547,011010001
548,110000010
549,100000101
550,000001011
551,000010111
552,000101111
553,001011110
554,010011101
555,100111011
556,001110110
557,011101101
558,111011010
559,110110100
560,101001001
561,010010011
562,100100111
563,001001110
564,010011100
565,100111001
566,001010010
567,010100101
568,101001010
569,010010101
570,100101011
571,001010111
572,010001110
573,100011100
574,000111000
575,001110000
576,011100001
577,111000010
578,110100101
579,101001011
580,010010111
581,100101111
582,001011111
583,010111111
584,101011110
585,010111100
586,101111001
587,011110011
588,111100111
589,111001111
590,110111111
591,101111110
592,011111100
593,111111001
594,111110010
595,111100100
596,111101000
597,111010001
598,110100010
599,101000100
600,010001001
601,100010010
602,000000100
603,000001000
604,000010000
605,000100001
606,001000010
607,010000100
608,100101001
609,001010011
610,010100111
611,101001111
612,010011111
613,100111111
614,001011110
615,010111101
616,101111011
617,011110110
618,111101101
619,111011011
620,110010111
621,100101110
622,001011101
623,010111010
624,101110101
625,011101010
626,111110100
627,111101000
628,111010001
629,110100010
630,101000101
631,010001011
632,100110111
633,001101110
634,011011100
635,110111000
636,101110000
637,011100000
638,111100000
639,111000001
640,110000011
641,100000111
642,000001111
643,000011110
644,000011100
645,000111001
646,001110011
647,011100110
648,111001100
649,110011001
650,100010010
651,000100100
652,001001000
653,010010000
654,100100001
655,001000011
656,010100111
657,101001110
658,010011101
659,100111010
660,001110100
661,011101001
662,111110010
663,111100100
664,111001001
665,110010011
666,100100110
667,001001101
668,010111011
669,101110111
670,011101110
671,111011101
672,110111010
673,101110100
674,011001000
675,110010000
676,100100000
677,001000001
678,010000010
679,100000100
680,000101000
681,001010000
682,010100001
683,101000011
684,010000111
685,100001110
686,000111101
687,001111011
688,011110111
689,111101111
690,111011111
691,110111110
692,101011101
693,010111010
694,101110101
695,011101011
696,111010110
697,110101100
698,101111001
699,011110010
700,111100101
701,111001011
702,110010111
703,100101110
704,001111100
705,011111001
706,111110011
707,111100111
708,111001111
709,110011111
710,100011110
711,000111100
712,001111001
713,011110011
714,111100111
715,111001111
716,110111110
717,101111100
718,011111000
719,111110000
720,111100000
721,111000001
722,110100011
723,101000111
724,010001111
725,100011110
726,000111100
727,001111001
728,011010010
729,110100101
730,101001011
731,010010110
732,100101101
733,001011011
734,010010111
735,100101111
736,001011111
737,010111111
738,101111111
739,011111110
740,111011100
741,110111000
742,101110000
743,011100001
744,111000010
745,110000101
746,100101011
747,001010111
748,010101111
749,101011110
750,010111100
751,101111001
752,011010011
753,110100111
754,101001111
755,010011110
756,100111101
757,001111010
758,011010101
759,110101011
760,101010111
761,010101110
762,101011100
763,010111000
764,101010000
765,010100000
766,101000000
767,010000000
768,100000000
769,000000001
770,000100010
771,001000100
772,010001000
773,100010000
774,000100000
775,001000000
776,010100001
777,101000010
778,010000101
779,100001011
780,000010111
781,000101111
782,001111110
783,011111101
784,111111011
785,111110110
786,111101100
787,111011001
788,110010011
789,100100110
790,001001101
791,010011011
792,100110111
793,001101110
794,011111100
795,111111001
796,111110010
797,111100100
798,111001001
799,110010011
800,100000111
801,000001111
802,000011110
803,000111100
804,001111001
805,011110011
806,111000111
807,110001111
808,100011111
809,000111110
810,001111101
811,011111011
812,111010110
813,110101100
814,101011001
815,010110011
816,101100111
817,011001111
818,110111110
819,101111100
820,011111000
821,111110001
822,111100010
823,111000101
824,110101010
825,101010101
826,010101010
827,101010101
828,010101010
829,101010100
830,010001000
831,100010000
832,000100000
833,001000000
834,010000000
835,100000000
836,000100000
837,001000000
838,010000000
839,100000001
840,000000011
841,000000110
842,000101100
843,001011000
844,010110001
845,101100011
846,011000111
847,110001110
848,100111100
849,001111000
850,011110001
851,111100010
852,111000101
853,110001011
854,100110111
